position,adverbial indicator,NP-VP-NP,,score
0.3,0.2,0.6,0.3,0.6316820796784821
0.7,0.3,0.0,0.0,0.620772485669056
0.6,0.8,0.7,0.3,0.6156183496997362
0.2,0.6,0.5,0.7,0.6439607373100468
0.5,0.7,0.4,0.4,0.6266755552271208
0.0,0.2,0.1,0.8,0.643960737310047
0.1,0.9,0.0,0.8,0.6105574086289025
0.5,0.0,0.1,0.8,0.6439607373100468
0.1,0.5,0.3,0.4,0.6182602381028763
0.1,0.8,0.2,0.3,0.7366077598844025
0.2,0.8,0.7,0.1,0.6405449378659199
0.4,0.7,0.9,0.3,0.606473345757135
0.0,0.2,0.8,0.7,0.6440714106331327
0.1,0.5,0.1,0.6,0.6379108566882192
0.6,0.4,0.4,0.1,0.6284536857395491
0.1,0.7,0.4,0.6,0.6327909314893757
0.3,0.3,0.5,0.9,0.6439607373100468
0.9,0.1,0.1,0.9,0.6439607373100468
0.2,0.9,0.4,0.4,0.6688966679652313
0.1,0.7,0.7,0.1,0.6485408409682926
0.0,0.2,0.4,0.7,0.6439607373100469
0.1,0.7,0.2,0.2,0.6144852616543802
0.2,0.5,0.8,0.7,0.6379108566882191
0.2,0.5,0.3,0.4,0.6207724856690556
0.7,0.3,0.0,0.2,0.6315613364879505
0.1,0.6,0.7,0.6,0.6174956577011977
0.1,0.5,0.7,0.2,0.6574702502586383
0.3,0.7,0.9,0.1,0.606473345757135
0.2,0.4,0.1,0.5,0.6248497578306279
0.8,0.3,0.8,0.6,0.6453621298336301
0.1,0.5,0.5,0.3,0.6009199776387345
0.1,0.9,0.3,0.9,0.6388652704206158
0.1,0.7,0.9,0.7,0.6440714106331327
0.0,0.3,0.0,0.7,0.6439607373100468
0.1,0.6,0.1,0.2,0.618279553354028
0.3,0.0,0.1,0.9,0.6439607373100469
0.2,0.0,0.9,0.7,0.6248497578306278
0.3,0.4,0.5,0.8,0.6439607373100468
0.6,0.4,0.4,0.5,0.6377645233190659
0.1,0.6,0.9,0.9,0.657462037371774
0.2,0.3,0.6,0.4,0.6698203579908963
0.1,0.5,0.9,0.2,0.5955992039822926
0.1,0.6,0.3,0.3,0.5606623360919342
0.1,0.4,0.9,0.9,0.6439607373100467
0.9,0.9,0.1,0.9,0.6408166438436917
0.1,0.9,0.0,0.9,0.6388652704206157
0.8,0.3,0.8,0.8,0.6439607373100467
0.0,0.3,0.1,0.9,0.6439607373100467
0.2,0.2,0.1,0.6,0.653705788898919
0.2,0.2,0.7,0.2,0.6451534573533259
0.3,0.2,0.6,0.5,0.6439607373100468
0.3,0.1,0.0,0.1,0.6439607373100468
0.2,0.5,0.8,0.8,0.637764523319066
0.1,0.8,0.2,0.4,0.587468642412645
0.1,0.9,0.7,0.1,0.6098497114898191
0.2,0.7,0.2,0.7,0.6658008465895227
0.3,0.6,0.7,0.7,0.643960737310047
0.2,0.1,0.3,0.4,0.6439607373100469
0.4,0.0,0.6,0.9,0.6439607373100469
0.3,0.1,0.8,0.1,0.7360422723432981
0.1,0.7,0.4,0.7,0.6451534573533259
0.1,0.5,0.3,0.5,0.636023910463543
0.2,0.1,0.7,0.2,0.6453621298336302
0.5,0.4,0.8,0.0,0.623469547295688
0.1,0.7,0.7,0.2,0.587468642412645
0.1,0.5,0.1,0.7,0.6316820796784821
0.3,0.7,0.9,0.3,0.606473345757135
0.9,0.1,0.2,0.5,0.6439607373100468
0.1,0.0,0.9,0.1,0.6453621298336301
0.2,0.0,0.0,0.9,0.6310149955242269
0.6,0.8,0.7,0.9,0.6439607373100468
0.1,0.6,0.7,0.7,0.6439607373100469
0.1,0.9,0.4,0.0,0.5874686424126448
0.2,0.0,0.9,0.8,0.6377645233190659
0.1,0.6,0.5,0.5,0.6098497114898191
0.4,0.2,0.2,0.7,0.6439607373100469
0.2,0.3,0.6,0.5,0.6440714106331327
0.0,0.2,0.0,0.5,0.6761701431293514
0.1,0.5,0.7,0.3,0.6186015460714427
0.4,0.7,0.9,0.7,0.6453621298336301
0.5,0.2,0.4,0.2,0.6440714106331327
0.1,0.5,0.5,0.4,0.6776028407735214
0.0,0.2,0.6,0.1,0.5811268075803263
0.1,0.6,0.1,0.3,0.7248353809115307
0.8,0.3,0.9,0.2,0.6316720098110363
0.1,0.7,0.0,0.0,0.5874686424126448
0.5,0.7,0.5,0.0,0.588596253348448
0.3,0.0,0.2,0.1,0.590597850911731
0.1,0.9,0.1,0.0,0.6036443620358404
0.6,0.0,0.6,0.9,0.6439607373100469
0.5,0.4,0.8,0.2,0.6229435473174132
0.9,0.9,0.2,0.5,0.6207724856690557
0.1,0.6,0.3,0.4,0.5957548786133302
0.1,0.5,0.9,0.3,0.5860560763011831
0.1,0.8,0.2,0.5,0.640080534170433
0.0,0.2,0.5,0.2,0.6440714106331327
0.2,0.1,0.7,0.3,0.654078177675808
0.3,0.5,0.6,0.2,0.609849711489819
0.1,0.5,0.0,0.0,0.5874686424126448
0.5,0.0,0.2,0.4,0.6439607373100468
0.4,0.3,0.9,0.9,0.6439607373100468
0.3,0.1,0.0,0.3,0.6439607373100468
0.1,0.8,0.8,0.1,0.5940743268581662
0.7,0.7,0.9,0.2,0.623469547295688
0.0,0.1,0.9,0.7,0.6440714106331327
0.1,0.7,0.4,0.8,0.6540781776758082
0.1,0.7,0.7,0.3,0.6246231398364489
0.2,0.3,0.6,0.6,0.624849757830628
0.4,0.7,0.9,0.9,0.6416654489720646
0.2,0.0,0.9,0.9,0.6698203579908963
0.0,0.9,0.4,0.3,0.6064733457571351
0.1,0.7,0.2,0.4,0.5874686424126448
0.1,0.9,0.4,0.1,0.6018307674354217
0.1,0.5,0.3,0.6,0.6174956577011977
0.2,0.0,0.5,0.4,0.6440714106331328
0.2,0.5,0.3,0.7,0.6349809299435506
0.2,0.2,0.7,0.4,0.6453621298336302
0.0,0.0,0.2,0.7,0.5905978509117311
0.0,0.1,0.7,0.4,0.6842408350802194
0.1,0.5,0.1,0.8,0.6842408350802194
0.1,0.7,0.9,0.9,0.6439607373100469
0.2,0.8,0.7,0.5,0.6214304783731612
0.1,0.6,0.5,0.6,0.6248497578306279
0.2,0.6,0.6,0.3,0.606473345757135
0.9,0.9,0.2,0.9,0.6408166438436917
0.0,0.5,0.3,0.8,0.7346704092119312
0.2,0.4,0.1,0.8,0.7346704092119312
0.1,0.5,0.7,0.4,0.6036443620358403
0.1,0.9,0.1,0.1,0.6063626724340491
0.7,0.3,0.1,0.2,0.6315613364879505
0.2,0.1,0.3,0.6,0.6439607373100469
0.1,0.7,0.0,0.1,0.6063626724340491
0.0,0.4,0.4,0.7,0.6439607373100469
0.1,0.6,0.1,0.4,0.6036443620358402
0.1,0.5,0.5,0.5,0.6231309186737912
0.9,0.1,0.3,0.3,0.6439607373100468
0.4,0.4,0.0,0.3,0.616743475029038
0.5,0.2,0.4,0.6,0.6439607373100469
0.1,0.8,0.2,0.6,0.5906067050847685
0.3,0.0,0.2,0.3,0.7208460428150216
0.1,0.2,0.9,0.5,0.6440714106331324
0.2,0.4,0.8,0.5,0.624849757830628
0.2,0.7,0.3,0.0,0.6036443620358403
0.1,0.6,0.3,0.5,0.6360405285195359
0.2,0.5,0.9,0.1,0.5955992039822926
0.1,0.5,0.9,0.4,0.6264766039617127
0.3,0.2,0.6,0.9,0.6439607373100468
0.0,0.5,0.6,0.0,0.6064733457571349
0.2,0.0,0.1,0.1,0.6349809299435504
0.2,0.1,0.0,0.0,0.628409531144231
0.2,0.8,0.7,0.6,0.5874686424126448
0.3,0.7,0.9,0.7,0.6440714106331327
0.1,0.7,0.4,0.9,0.6439607373100469
0.7,0.3,0.1,0.4,0.6439607373100468
0.1,0.5,0.0,0.1,0.6782133337550105
0.2,0.2,0.1,0.9,0.6439607373100469
0.3,0.3,0.6,0.8,0.6453621298336301
0.1,0.7,0.2,0.5,0.5903812988480188
