no_mapping,no_mapping,no_mapping,score
0.0,0.5,0.3,0.07686924238975051
0.1,0.3,0.8,0.3344590760017274
1.0,0.3,0.3,0.2548445836928098
0.2,0.9,0.8,0.10553515453299012
0.3,1.0,0.3,0.13333846357004833
0.1,0.7,0.3,0.005486680066902339
1.0,0.3,0.9,0.2548445836928098
0.1,1.0,0.2,0.018334824351217402
0.3,0.2,0.4,0.10119055760124764
0.8,0.8,0.9,0.16328909594531987
0.2,0.2,0.7,0.10108948126735656
0.5,1.0,0.9,0.21580030170923845
0.2,0.5,0.9,0.11600942829906573
0.3,0.2,0.6,0.1158692310441527
0.2,0.9,0.0,0.1408177063716066
0.4,0.3,0.5,0.13447023481817705
0.6,0.9,0.9,0.2342379446683797
0.5,0.1,0.7,0.22346624993067452
0.1,1.0,0.5,0.058059938219224866
0.2,1.0,0.9,0.1336445970275677
0.2,0.3,0.2,0.09814207562472868
0.1,0.7,0.5,0.03287490819550626
0.4,0.4,0.1,0.13447023481817705
0.9,0.0,0.8,0.19239589645465677
0.4,0.1,0.1,0.14263613250745327
0.4,0.1,0.5,0.22075796868480527
1.0,0.9,1.0,0.16595289475914013
0.0,0.4,0.5,0.11672259213805035
0.0,0.1,0.3,0.24555944856560297
0.1,1.0,0.8,0.08544816634782879
0.7,0.1,0.8,0.16040053531709816
0.1,0.7,0.7,0.006870812836820567
0.9,0.2,0.7,0.14882649518511581
0.5,0.3,0.5,0.24081015688037946
0.3,0.2,0.5,0.1771471938055771
0.7,0.2,0.3,0.22602523738980893
0.3,0.1,0.4,0.09171056268978336
0.3,0.1,0.5,0.1389603568250751
0.3,0.2,0.9,0.1771471938055771
0.7,0.3,0.2,0.22188620206662887
0.1,0.2,0.1,0.2142096509089787
0.5,0.4,0.4,0.23613271844576122
0.5,0.0,0.7,0.08523044485044153
0.0,0.1,0.5,0.2271218056064616
0.2,0.0,0.1,0.10070315389419095
0.3,0.8,1.0,0.08084268848233707
0.2,0.7,0.3,0.06561086964102546
0.7,0.4,0.3,0.1706303331937583
0.4,0.7,0.9,0.171212809493609
0.0,0.1,0.9,0.22712180560646167
0.2,0.3,1.0,0.1005709632703321
0.5,0.5,0.9,0.1447906262563807
0.4,0.8,0.9,0.171212809493609
0.3,0.4,0.2,0.1841875528152705
0.7,0.5,0.6,0.1659528947591401
0.2,0.0,0.7,0.09354630810970112
0.0,0.4,0.9,0.14435622190580305
0.3,0.5,1.0,0.11459632914772859
0.4,0.2,0.5,0.10719528944917783
0.2,0.7,0.8,0.08105261177497314
0.4,0.6,0.5,0.15224242065287535
0.3,0.4,0.4,0.1590110739001697
0.7,0.7,1.0,0.233468919631941
0.3,0.5,0.3,0.22016110245426374
0.5,0.0,0.2,0.11663903716934051
0.7,0.8,0.3,0.16405812098175862
0.7,0.8,0.9,0.2342379446683797
0.2,0.1,0.1,0.053644571086615994
0.3,0.2,0.8,0.11675071101079844
0.0,0.5,0.6,0.11433117700381386
0.7,0.9,0.6,0.17982675207024515
0.2,0.8,0.5,0.1143128689916549
1.0,0.4,0.5,0.16588435866823462
0.3,0.6,0.1,0.22016110245426374
0.2,0.1,0.4,0.051471639844484274
0.0,0.5,0.2,0.1236540562800366
0.3,0.6,0.7,0.1346217577971945
0.5,0.2,0.0,0.1250772317818272
0.2,0.4,0.7,0.07680892762967718
0.3,0.1,0.0,0.0879153998397356
0.3,0.5,0.9,0.19498462353916293
0.1,0.4,0.9,0.2158003017092384
0.8,0.1,0.1,0.22840929419221098
1.0,0.7,1.0,0.19171734999079892
0.3,0.5,0.5,0.1907750568104456
0.2,0.5,0.6,0.11429079952333833
0.2,0.1,0.7,0.052888881874457644
0.3,0.7,0.4,0.22016110245426374
0.5,0.3,0.1,0.12819890084492241
0.3,0.7,0.9,0.13440317895605114
0.0,0.5,0.8,0.08323465492653807
0.8,0.4,0.9,0.23768848781728422
0.2,0.1,1.0,0.04591144940806242
0.2,0.5,1.0,0.10338939302301652
